|Team|Link|Age|AbroadPlayers|Value|Difference|Year|Country
150|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2016|22,8|13|€19.15m|€618k|2016|Austria
151|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2016|23,2|8|€13.45m|€420k|2016|Austria
152|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2017|21,9|26|€45.70m|€1.24m|2017|Austria
153|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2017|23,4|14|€25.15m|€662k|2017|Austria
154|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2017|22,9|10|€23.60m|€674k|2017|Austria
155|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2017|22,9|7|€18.15m|€519k|2017|Austria
156|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2018|22,2|31|€117.15m|€2.86m|2018|Austria
157|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2018|22,7|11|€33.20m|€897k|2018|Austria
158|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2018|23,1|11|€25.00m|€735k|2018|Austria
159|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2018|23,3|7|€24.45m|€764k|2018|Austria
160|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2009|23,6|9|€28.58m|€840k|2009|Czech Republic
161|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2009|24,1|15|€27.09m|€602k|2009|Czech Republic
162|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2009|24,8|7|€14.73m|€491k|2009|Czech Republic
163|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2009|24,2|6|€12.63m|€407k|2009|Czech Republic
164|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2009|23,7|8|€12.00m|€375k|2009|Czech Republic
165|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2009|24,4|3|€10.48m|€419k|2009|Czech Republic
166|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2009|23,8|4|€9.73m|€335k|2009|Czech Republic
167|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2009|24,6|6|€7.30m|€215k|2009|Czech Republic
168|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2010|24,6|10|€27.73m|€770k|2010|Czech Republic
169|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2010|24,1|9|€15.60m|€422k|2010|Czech Republic
170|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2010|24,0|5|€13.10m|€437k|2010|Czech Republic
171|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2010|24,7|5|€12.85m|€378k|2010|Czech Republic
172|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2010|23,9|10|€12.03m|€364k|2010|Czech Republic
173|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2010|24,7|7|€11.15m|€384k|2010|Czech Republic
174|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2010|24,8|3|€10.63m|€409k|2010|Czech Republic
175|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2010|23,5|5|€5.33m|€184k|2010|Czech Republic
176|Sparta Praha|/ac-sparta-prag/startseite/verein/197/saison_id/2011|25,1|6|€25.58m|€710k|2011|Czech Republic
177|Viktoria Plzen|/fc-viktoria-pilsen/startseite/verein/941/saison_id/2011|26,0|5|€16.45m|€548k|2011|Czech Republic
178|Mladá Boleslav|/fk-mlada-boleslav/startseite/verein/5546/saison_id/2011|25,0|4|€12.15m|€392k|2011|Czech Republic
179|FK Teplice|/fk-teplice/startseite/verein/814/saison_id/2011|23,8|7|€11.15m|€372k|2011|Czech Republic
180|Slavia Prague|/sk-slavia-prag/startseite/verein/62/saison_id/2011|22,9|7|€9.90m|€275k|2011|Czech Republic
181|Slovan Liberec|/fc-slovan-liberec/startseite/verein/697/saison_id/2011|25,0|6|€9.28m|€371k|2011|Czech Republic
182|FK Jablonec|/fk-jablonec/startseite/verein/1322/saison_id/2011|23,7|3|€8.98m|€345k|2011|Czech Republic
183|Slovácko|/1-fc-slovacko/startseite/verein/5544/saison_id/2011|24,0|4|€4.63m|€149k|2011|Czech Republic
