|StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
896|8.479 Seats|"Tsentralny Sportivny Komplex ""Neman"""|39|Free transfer|Free transfer|0|0|0
897|3.000 Seats|Stadion FK Minsk|35|Free transfer|Free transfer|0|0|0
898|13.126 Seats|Borisov-Arena|40|Free transfer|Ä100k|Ä100k|0|+Ä100k
899|22.246 Seats|Dinamo|50|Free transfer|Free transfer|0|0|0
900|4.200 Seats|Stroitel|40|Ä40k|Free transfer|0|Ä40k|Ä-40k
901|6.524 Seats|Torpedo|45|Free transfer|Free transfer|0|0|0
902|8.479 Seats|"Tsentralny Sportivny Komplex ""Neman"""|36|Free transfer|Ä232k|Ä232k|0|+Ä232k
903|3.000 Seats|Stadion FK Minsk|45|Free transfer|Ä40k|Ä40k|0|+Ä40k
904|13.126 Seats|Borisov-Arena|49|Ä250k|Ä1.30m|Ä1.30m|Ä626k|+Ä675k
905|22.246 Seats|Dinamo|54|Free transfer|Free transfer|0|0|0
906|4.200 Seats|Stroitel|48|Ä100k|Free transfer|0|Ä100k|Ä-100k
907|6.524 Seats|Torpedo|44|Free transfer|Free transfer|0|0|0
908|3.000 Seats|Stadion FK Minsk|45|Free transfer|Ä88k|Ä88k|0|+Ä88k
909|8.479 Seats|"Tsentralny Sportivny Komplex ""Neman"""|42|Free transfer|Ä88k|Ä88k|0|+Ä88k
910|22.500 Seats|TehelnÈ pole|33|Ä350k|Ä150k|Ä150k|Ä625k|Ä-475k
911|11.800 Seats|Pod Dubnom|35|Ä40k|Ä900k|Ä1.05m|Ä40k|+Ä1.01m
912|4.165 Seats|OMS Arena|40|Free transfer|Free transfer|0|0|0
913|19.200 Seats|City ArÈna - ätadiÛn Antona MalatinskÈho|39|Free transfer|Ä100k|Ä100k|0|+Ä100k
914|5.000 Seats|ätadiÛn pod »ebraùom|37|Free transfer|Ä100k|Ä170k|0|+Ä170k
915|22.500 Seats|TehelnÈ pole|34|Free transfer|Ä1.50m|Ä1.75m|0|+Ä1.75m
916|11.800 Seats|Pod Dubnom|36|Ä900k|Ä600k|Ä1.33m|Ä1.10m|+Ä225k
917|4.165 Seats|OMS Arena|31|Free transfer|Free transfer|0|0|0
918|19.200 Seats|City ArÈna - ätadiÛn Antona MalatinskÈho|34|Free transfer|Free transfer|0|0|0
919|5.000 Seats|ätadiÛn pod »ebraùom|30|Free transfer|Ä200k|Ä200k|0|+Ä200k
920|22.500 Seats|TehelnÈ pole|43|Ä400k|Ä630k|Ä930k|Ä400k|+Ä530k
921|19.200 Seats|City ArÈna - ätadiÛn Antona MalatinskÈho|40|Free transfer|Ä250k|Ä250k|0|+Ä250k
922|11.800 Seats|Pod Dubnom|35|Ä60k|Ä150k|Ä220k|Ä120k|+Ä100k
923|4.165 Seats|OMS Arena|34|Free transfer|Free transfer|0|0|0
924|5.000 Seats|ätadiÛn pod »ebraùom|40|Free transfer|Ä500k|Ä500k|0|+Ä500k
925|22.500 Seats|TehelnÈ pole|32|Ä150k|Ä630k|Ä630k|Ä150k|+Ä480k
926|4.165 Seats|OMS Arena|36|Free transfer|Free transfer|0|0|0
927|19.200 Seats|City ArÈna - ätadiÛn Antona MalatinskÈho|37|Ä60k|Ä120k|Ä120k|Ä60k|+Ä60k
928|11.800 Seats|Pod Dubnom|32|Free transfer|Ä300k|Ä300k|0|+Ä300k
929|5.000 Seats|ätadiÛn pod »ebraùom|27|?|Free transfer|0|0|0
930|22.500 Seats|TehelnÈ pole|37|Free transfer|Ä480k|Ä480k|0|+Ä480k
931|4.165 Seats|OMS Arena|44|Free transfer|Free transfer|0|0|0
932|11.800 Seats|Pod Dubnom|37|Free transfer|Ä26k|Ä26k|0|+Ä26k
933|19.200 Seats|City ArÈna - ätadiÛn Antona MalatinskÈho|37|Free transfer|Free transfer|0|0|0
934|5.000 Seats|ätadiÛn pod »ebraùom|36|Free transfer|Free transfer|0|0|0
935|22.500 Seats|TehelnÈ pole|39|Ä550k|Free transfer|0|Ä550k|Ä-550k
936|19.200 Seats|City ArÈna - ätadiÛn Antona MalatinskÈho|41|Ä5k|Ä150k|Ä150k|Ä5k|+Ä145k
937|5.000 Seats|ätadiÛn pod »ebraùom|41|Free transfer|Ä160k|Ä160k|0|+Ä160k
938|4.165 Seats|OMS Arena|32|Free transfer|Ä210k|Ä360k|0|+Ä360k
939|11.800 Seats|Pod Dubnom|30|Free transfer|Free transfer|0|0|0
940|22.500 Seats|TehelnÈ pole|45|Ä100k|Free transfer|0|Ä100k|Ä-100k
941|19.200 Seats|City ArÈna - ätadiÛn Antona MalatinskÈho|41|Free transfer|Ä700k|Ä850k|0|+Ä850k
