|StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
497|25.556 Seats|Slavia Stadium|49|Free transfer|Free transfer|0|0|0
498|12.500 Seats|Stadion Ticha|41|Free transfer|Free transfer|0|0|0
499|13.000 Seats|Lokomotiv|45|Free transfer|Free transfer|0|0|0
500|38.065 Seats|Telia Parken|29|Ä400k|Ä540k|Ä540k|Ä400k|+Ä140k
501|28.000 Seats|Br?ndby Stadion|31|Ä300k|Ä1.30m|Ä1.65m|Ä300k|+Ä1.35m
502|11.535 Seats|MCH Arena|35|Ä540k|Ä540k|Ä1.41m|Ä540k|+Ä870k
503|15.790 Seats|Nature Energy Park|29|Ä800k|Ä400k|Ä400k|Ä1.34m|Ä-940k
504|13.800 Seats|Aalborg Portland Park|30|Ä540k|Ä1.25m|Ä2.79m|Ä1.75m|+Ä1.04m
505|10.300 Seats|Right to Dream Park|34|Ä400k|Ä400k|Ä825k|Ä950k|Ä-125k
506|10.000 Seats|Sydbank Park|0|Free transfer|Ä540k|0|0|0
507|38.065 Seats|Telia Parken|32|Ä1.35m|Ä700k|Ä1.37m|Ä4.02m|Ä-2.65m
508|15.790 Seats|Nature Energy Park|35|Ä200k|Free transfer|0|Ä200k|Ä-200k
509|28.000 Seats|Br?ndby Stadion|31|Free transfer|Ä1.00m|Ä1.95m|0|+Ä1.95m
510|11.535 Seats|MCH Arena|33|Ä1.00m|Ä4.20m|Ä5.60m|Ä1.50m|+Ä4.10m
511|13.800 Seats|Aalborg Portland Park|34|Free transfer|Ä1.00m|Ä1.20m|0|+Ä1.20m
512|10.300 Seats|Right to Dream Park|37|Free transfer|Ä1.75m|Ä1.75m|0|+Ä1.75m
513|10.000 Seats|Sydbank Park|0|Free transfer|Ä1.35m|0|0|0
514|38.065 Seats|Telia Parken|30|Ä2.40m|Ä3.50m|Ä4.30m|Ä5.20m|Ä-900k
515|28.000 Seats|Br?ndby Stadion|36|Ä470k|Ä350k|Ä350k|Ä470k|Ä-120k
516|15.790 Seats|Nature Energy Park|29|Ä560k|Ä540k|Ä540k|Ä960k|Ä-420k
517|11.535 Seats|MCH Arena|35|Free transfer|Ä300k|Ä300k|0|+Ä300k
518|10.300 Seats|Right to Dream Park|34|Ä135k|Free transfer|0|Ä135k|Ä-135k
519|13.800 Seats|Aalborg Portland Park|29|Free transfer|Ä63k|Ä63k|0|+Ä63k
520|10.000 Seats|Sydbank Park|25|Free transfer|Ä200k|Ä200k|0|+Ä200k
521|38.065 Seats|Telia Parken|32|Ä1.00m|Ä5.00m|Ä9.90m|Ä2.80m|+Ä7.10m
522|28.000 Seats|Br?ndby Stadion|32|Ä670k|Ä1.00m|Ä1.10m|Ä670k|+Ä430k
523|15.790 Seats|Nature Energy Park|30|Ä540k|Ä1.75m|Ä3.65m|Ä540k|+Ä3.11m
524|10.300 Seats|Right to Dream Park|46|Ä270k|Ä2.80m|Ä5.54m|Ä675k|+Ä4.86m
525|11.535 Seats|MCH Arena|36|Ä320k|Ä1.20m|Ä1.20m|Ä320k|+Ä880k
526|10.000 Seats|Sydbank Park|34|Free transfer|Ä670k|Ä945k|0|+Ä945k
527|13.800 Seats|Aalborg Portland Park|28|Free transfer|Ä1.40m|Ä1.40m|0|+Ä1.40m
528|38.065 Seats|Telia Parken|31|Ä3.50m|Ä8.70m|Ä13.48m|Ä5.55m|+Ä7.93m
529|28.000 Seats|Br?ndby Stadion|33|Ä1.00m|Ä100k|Ä100k|Ä3.08m|Ä-2.98m
530|10.300 Seats|Right to Dream Park|38|Ä550k|Ä4.70m|Ä4.80m|Ä550k|+Ä4.25m
531|11.535 Seats|MCH Arena|38|Ä800k|Ä600k|Ä600k|Ä800k|Ä-200k
532|15.790 Seats|Nature Energy Park|33|Free transfer|Free transfer|0|0|0
533|13.800 Seats|Aalborg Portland Park|29|Ä100k|Ä1.50m|Ä1.80m|Ä170k|+Ä1.63m
534|10.000 Seats|Sydbank Park|34|Free transfer|Ä650k|Ä650k|0|+Ä650k
535|28.000 Seats|Br?ndby Stadion|33|Ä4.00m|Ä2.30m|Ä2.30m|Ä7.62m|Ä-5.32m
536|38.065 Seats|Telia Parken|36|Ä2.00m|Ä3.00m|Ä4.35m|Ä7.70m|Ä-3.35m
537|11.535 Seats|MCH Arena|32|Ä1.00m|Ä500k|Ä500k|Ä2.90m|Ä-2.40m
538|15.790 Seats|Nature Energy Park|33|Ä100k|Free transfer|0|Ä100k|Ä-100k
539|10.300 Seats|Right to Dream Park|31|Ä500k|Ä750k|Ä1.42m|Ä500k|+Ä920k
540|13.800 Seats|Aalborg Portland Park|31|Ä150k|Ä600k|Ä600k|Ä150k|+Ä450k
541|10.000 Seats|Sydbank Park|32|Free transfer|Free transfer|0|0|0
542|38.065 Seats|Telia Parken|33|Ä3.10m|Ä6.60m|Ä7.12m|Ä6.80m|+Ä318k
543|28.000 Seats|Br?ndby Stadion|37|Ä850k|Ä2.50m|Ä4.10m|Ä2.15m|+Ä1.95m
544|11.535 Seats|MCH Arena|44|Ä2.10m|Ä2.50m|Ä3.70m|Ä4.61m|Ä-910k
545|15.790 Seats|Nature Energy Park|34|Ä700k|Ä1.50m|Ä2.35m|Ä700k|+Ä1.65m
546|13.800 Seats|Aalborg Portland Park|30|Free transfer|Ä300k|Ä300k|0|+Ä300k
547|10.300 Seats|Right to Dream Park|35|Ä500k|Ä3.75m|Ä6.10m|Ä700k|+Ä5.40m
548|10.000 Seats|Sydbank Park|31|Free transfer|Ä550k|Ä550k|0|+Ä550k
549|38.065 Seats|Telia Parken|33|Ä3.00m|Ä3.50m|Ä6.00m|Ä8.80m|Ä-2.80m
550|11.535 Seats|MCH Arena|40|Free transfer|Ä6.00m|Ä10.30m|0|+Ä10.30m
551|28.000 Seats|Br?ndby Stadion|39|Ä300k|Ä2.00m|Ä3.90m|Ä1.30m|+Ä2.61m
552|10.300 Seats|Right to Dream Park|38|Ä600k|Ä9.75m|Ä10.53m|Ä600k|+Ä9.93m
553|13.800 Seats|Aalborg Portland Park|30|Ä1.25m|Ä6.00m|Ä8.21m|Ä1.25m|+Ä6.96m
554|15.790 Seats|Nature Energy Park|27|Ä200k|Ä150k|Ä150k|Ä200k|Ä-50k
555|10.000 Seats|Sydbank Park|36|Ä80k|Ä350k|Ä350k|Ä80k|+Ä270k
556|38.065 Seats|Telia Parken|32|Ä2.70m|Ä4.95m|Ä17.34m|Ä10.10m|+Ä7.24m
557|28.000 Seats|Br?ndby Stadion|29|Ä1.50m|Ä600k|Ä925k|Ä4.14m|Ä-3.21m
558|11.535 Seats|MCH Arena|36|Ä650k|Ä9.00m|Ä16.95m|Ä2.30m|+Ä14.65m
559|13.800 Seats|Aalborg Portland Park|34|Ä625k|Ä1.30m|Ä1.30m|Ä1.49m|Ä-190k
560|15.790 Seats|Nature Energy Park|31|Free transfer|Ä300k|Ä300k|0|+Ä300k
561|10.300 Seats|Right to Dream Park|36|Ä350k|Ä5.00m|Ä9.95m|Ä350k|+Ä9.60m
562|10.000 Seats|Sydbank Park|32|Free transfer|Ä200k|Ä200k|0|+Ä200k
563|38.065 Seats|Telia Parken|33|Ä2.70m|Ä9.00m|Ä19.85m|Ä6.93m|+Ä12.93m
564|28.000 Seats|Br?ndby Stadion|37|Ä1.47m|Ä3.50m|Ä6.48m|Ä5.42m|+Ä1.06m
565|11.535 Seats|MCH Arena|48|Ä2.50m|Ä8.00m|Ä21.35m|Ä9.59m|+Ä11.76m
566|13.800 Seats|Aalborg Portland Park|34|Free transfer|Ä1.15m|Ä1.15m|0|+Ä1.15m
567|15.790 Seats|Nature Energy Park|32|Ä350k|Ä2.00m|Ä2.00m|Ä600k|+Ä1.40m
568|10.300 Seats|Right to Dream Park|35|?|Ä5.00m|Ä7.60m|0|+Ä7.60m
569|10.000 Seats|Sydbank Park|35|Free transfer|Ä500k|Ä500k|0|+Ä500k
570|54.329 Seats|Friends Arena|33|Ä300k|Ä2.20m|Ä2.20m|Ä550k|+Ä1.65m
571|18.800 Seats|Gamla Ullevi|35|Ä700k|Ä2.50m|Ä2.95m|Ä1.40m|+Ä1.55m
572|16.894 Seats|Bor?s Arena|36|Ä1.00m|Ä370k|Ä370k|Ä1.00m|Ä-630k
573|12.182 Seats|Guldf?geln Arena|36|Ä105k|Ä3.00m|Ä3.60m|Ä105k|+Ä3.50m
574|24.000 Seats|Stadion|28|Free transfer|Ä750k|Ä750k|0|+Ä750k
575|32.000 Seats|Tele2 Arena|29|Ä300k|Free transfer|0|Ä500k|Ä-500k
576|8.000 Seats|Bravida Arena|28|Free transfer|Free transfer|0|0|0
577|18.800 Seats|Gamla Ullevi|34|Free transfer|Ä400k|Ä400k|0|+Ä400k
578|16.894 Seats|Bor?s Arena|33|Ä670k|Ä3.50m|Ä5.70m|Ä1.53m|+Ä4.17m
579|24.000 Seats|Stadion|30|Free transfer|Free transfer|0|0|0
580|54.329 Seats|Friends Arena|33|Ä100k|Ä400k|Ä700k|Ä245k|+Ä455k
581|12.182 Seats|Guldf?geln Arena|35|Free transfer|Free transfer|0|0|0
582|32.000 Seats|Tele2 Arena|35|Free transfer|Free transfer|0|0|0
583|8.000 Seats|Bravida Arena|27|Ä500k|Free transfer|0|Ä500k|Ä-500k
584|24.000 Seats|Stadion|48|Ä1.50m|Ä500k|Ä500k|Ä1.50m|Ä-1.00m
585|18.800 Seats|Gamla Ullevi|33|Ä850k|Ä800k|Ä1.35m|Ä1.31m|+Ä37k
586|16.894 Seats|Bor?s Arena|41|Free transfer|Ä560k|Ä560k|0|+Ä560k
587|54.329 Seats|Friends Arena|32|Free transfer|Ä3.30m|Ä5.50m|0|+Ä5.50m
588|8.000 Seats|Bravida Arena|38|Free transfer|Ä1.50m|Ä2.50m|0|+Ä2.50m
589|32.000 Seats|Tele2 Arena|42|Free transfer|Free transfer|0|0|0
590|12.182 Seats|Guldf?geln Arena|33|Free transfer|Ä1.50m|Ä1.50m|0|+Ä1.50m
591|24.000 Seats|Stadion|36|Ä300k|Ä2.00m|Ä2.58m|Ä300k|+Ä2.28m
592|16.894 Seats|Bor?s Arena|40|Ä200k|Ä2.20m|Ä2.20m|Ä200k|+Ä2.00m
593|18.800 Seats|Gamla Ullevi|34|Free transfer|Ä1.50m|Ä1.82m|0|+Ä1.82m
594|54.329 Seats|Friends Arena|40|Free transfer|Free transfer|0|0|0
595|8.000 Seats|Bravida Arena|34|Free transfer|Ä2.90m|Ä2.90m|0|+Ä2.90m
596|12.182 Seats|Guldf?geln Arena|38|Free transfer|Free transfer|0|0|0
597|32.000 Seats|Tele2 Arena|34|Ä350k|Ä500k|Ä1.12m|Ä350k|+Ä770k
598|18.800 Seats|Gamla Ullevi|45|Ä650k|Ä1.75m|Ä2.75m|Ä1.25m|+Ä1.50m
599|24.000 Seats|Stadion|46|Ä150k|Ä4.00m|Ä4.19m|Ä150k|+Ä4.04m
600|16.894 Seats|Bor?s Arena|38|Free transfer|Free transfer|0|0|0
601|8.000 Seats|Bravida Arena|42|Free transfer|Free transfer|0|0|0
602|54.329 Seats|Friends Arena|36|Free transfer|Free transfer|0|0|0
603|32.000 Seats|Tele2 Arena|39|Ä200k|Free transfer|0|Ä200k|Ä-200k
604|12.182 Seats|Guldf?geln Arena|32|Free transfer|Ä400k|Ä415k|0|+Ä415k
605|24.000 Seats|Stadion|42|Ä350k|Ä3.70m|Ä10.78m|Ä570k|+Ä10.21m
606|12.182 Seats|Guldf?geln Arena|32|Free transfer|Ä1.50m|Ä1.50m|0|+Ä1.50m
607|18.800 Seats|Gamla Ullevi|38|Ä700k|Ä1.50m|Ä2.80m|Ä1.15m|+Ä1.66m
608|54.329 Seats|Friends Arena|40|Free transfer|Ä2.30m|Ä5.85m|0|+Ä5.85m
609|16.894 Seats|Bor?s Arena|31|Free transfer|Ä800k|Ä1.30m|0|+Ä1.30m
610|8.000 Seats|Bravida Arena|33|Ä100k|Ä450k|Ä450k|Ä100k|+Ä350k
611|32.000 Seats|Tele2 Arena|25|Ä175k|Ä1.80m|Ä4.25m|Ä175k|+Ä4.08m
612|24.000 Seats|Stadion|37|Ä732k|Ä1.70m|Ä3.35m|Ä1.16m|+Ä2.19m
613|18.800 Seats|Gamla Ullevi|37|Free transfer|Ä1.30m|Ä1.85m|0|+Ä1.85m
614|12.182 Seats|Guldf?geln Arena|34|Free transfer|Free transfer|0|0|0
615|16.894 Seats|Bor?s Arena|36|Ä400k|Ä1.95m|Ä2.45m|Ä400k|+Ä2.05m
616|54.329 Seats|Friends Arena|39|Free transfer|Ä910k|Ä2.26m|0|+Ä2.26m
617|32.000 Seats|Tele2 Arena|38|Free transfer|Ä1.10m|Ä1.10m|0|+Ä1.10m
618|8.000 Seats|Bravida Arena|34|Free transfer|Ä1.50m|Ä1.87m|0|+Ä1.87m
619|24.000 Seats|Stadion|37|Ä650k|Ä3.50m|Ä4.10m|Ä650k|+Ä3.45m
620|18.800 Seats|Gamla Ullevi|42|Free transfer|Ä1.60m|Ä3.23m|0|+Ä3.23m
621|54.329 Seats|Friends Arena|43|Ä1.00m|Ä8.60m|Ä10.10m|Ä1.15m|+Ä8.95m
622|12.182 Seats|Guldf?geln Arena|40|?|Ä2.40m|Ä2.40m|0|+Ä2.40m
623|8.000 Seats|Bravida Arena|42|Ä200k|Ä680k|Ä1.95m|Ä200k|+Ä1.75m
624|32.000 Seats|Tele2 Arena|34|Ä400k|Ä4.20m|Ä9.30m|Ä565k|+Ä8.74m
625|16.894 Seats|Bor?s Arena|30|Free transfer|Ä2.00m|Ä3.35m|0|+Ä3.35m
626|24.000 Seats|Stadion|45|Ä1.45m|Ä1.60m|Ä1.89m|Ä5.30m|Ä-3.42m
627|54.329 Seats|Friends Arena|45|Ä100k|Ä225k|Ä225k|Ä100k|+Ä125k
628|32.000 Seats|Tele2 Arena|38|Free transfer|Ä1.20m|Ä1.80m|0|+Ä1.80m
629|16.894 Seats|Bor?s Arena|32|Free transfer|Free transfer|0|0|0
630|8.000 Seats|Bravida Arena|39|Free transfer|Ä900k|Ä900k|0|+Ä900k
631|18.800 Seats|Gamla Ullevi|39|Ä171k|Ä3.90m|Ä4.00m|Ä171k|+Ä3.83m
632|12.182 Seats|Guldf?geln Arena|38|Free transfer|Ä1.00m|Ä1.75m|0|+Ä1.75m
633|24.000 Seats|Stadion|37|Ä500k|Ä4.50m|Ä5.50m|Ä1.00m|+Ä4.50m
634|54.329 Seats|Friends Arena|39|Ä300k|Ä4.50m|Ä5.10m|Ä300k|+Ä4.80m
635|32.000 Seats|Tele2 Arena|37|Ä400k|Ä3.00m|Ä6.52m|Ä850k|+Ä5.67m
636|8.000 Seats|Bravida Arena|36|Free transfer|Ä1.30m|Ä1.30m|0|+Ä1.30m
637|16.894 Seats|Bor?s Arena|35|Ä100k|Ä1.10m|Ä1.10m|Ä100k|+Ä1.00m
638|12.182 Seats|Guldf?geln Arena|39|Free transfer|Free transfer|0|0|0
639|18.800 Seats|Gamla Ullevi|34|Ä300k|Ä250k|Ä250k|Ä300k|Ä-50k
640|60.832 Seats|Celtic Park|46|Ä4.40m|Ä4.30m|Ä10.47m|Ä14.25m|Ä-3.79m
641|22.199 Seats|Pittodrie Stadium|40|Free transfer|Ä685k|Ä685k|0|+Ä685k
642|10.696 Seats|McDiarmid Park|36|Ä60k|Free transfer|0|Ä174k|Ä-174k
643|18.128 Seats|Rugby Park|30|Free transfer|Free transfer|0|0|0
644|13.750 Seats|Fir Park|37|Free transfer|Ä950k|Ä1.30m|0|+Ä1.30m
645|60.832 Seats|Celtic Park|42|Ä2.90m|Ä12.00m|Ä20.59m|Ä12.18m|+Ä8.41m
646|22.199 Seats|Pittodrie Stadium|39|Free transfer|Free transfer|0|0|0
647|10.696 Seats|McDiarmid Park|37|Free transfer|Ä12k|Ä12k|0|+Ä12k
648|13.750 Seats|Fir Park|33|Free transfer|Ä1.35m|Ä1.50m|0|+Ä1.50m
649|18.128 Seats|Rugby Park|37|Ä50k|Ä700k|Ä700k|Ä100k|+Ä600k
650|60.832 Seats|Celtic Park|47|Ä2.20m|Ä1.13m|Ä1.75m|Ä3.97m|Ä-2.22m
651|22.199 Seats|Pittodrie Stadium|37|Ä55k|Ä447k|Ä747k|Ä55k|+Ä692k
652|10.696 Seats|McDiarmid Park|43|Free transfer|Free transfer|0|0|0
653|18.128 Seats|Rugby Park|38|Free transfer|Ä510k|Ä510k|0|+Ä510k
654|13.750 Seats|Fir Park|28|Free transfer|Free transfer|0|0|0
655|60.832 Seats|Celtic Park|45|Ä2.50m|Ä7.00m|Ä7.32m|Ä2.98m|+Ä4.34m
656|10.696 Seats|McDiarmid Park|39|Free transfer|Free transfer|0|0|0
657|18.128 Seats|Rugby Park|41|Free transfer|Ä250k|Ä560k|0|+Ä560k
658|22.199 Seats|Pittodrie Stadium|34|Free transfer|Ä635k|Ä1.12m|0|+Ä1.12m
659|13.750 Seats|Fir Park|29|Free transfer|Free transfer|0|0|0
660|60.832 Seats|Celtic Park|42|Ä2.75m|Ä14.50m|Ä27.20m|Ä14.16m|+Ä13.04m
661|22.199 Seats|Pittodrie Stadium|31|Free transfer|Free transfer|0|0|0
662|10.696 Seats|McDiarmid Park|34|Free transfer|Free transfer|0|0|0
663|18.128 Seats|Rugby Park|38|Free transfer|Free transfer|0|0|0
664|13.750 Seats|Fir Park|30|Free transfer|Ä360k|Ä360k|0|+Ä360k
665|60.832 Seats|Celtic Park|43|Ä2.53m|Ä12.50m|Ä14.00m|Ä2.67m|+Ä11.33m
666|22.199 Seats|Pittodrie Stadium|36|Ä400k|Free transfer|0|Ä400k|Ä-400k
667|10.696 Seats|McDiarmid Park|33|Free transfer|Ä1.00m|Ä1.00m|0|+Ä1.00m
668|13.750 Seats|Fir Park|39|Free transfer|Ä350k|Ä350k|0|+Ä350k
669|18.128 Seats|Rugby Park|30|Free transfer|Ä200k|Ä200k|0|+Ä200k
670|60.832 Seats|Celtic Park|42|Ä7.50m|Ä15.70m|Ä19.18m|Ä15.10m|+Ä4.07m
671|22.199 Seats|Pittodrie Stadium|34|Free transfer|Free transfer|0|0|0
672|10.696 Seats|McDiarmid Park|34|Free transfer|Free transfer|0|0|0
673|18.128 Seats|Rugby Park|42|Free transfer|Free transfer|0|0|0
674|13.750 Seats|Fir Park|33|Free transfer|Free transfer|0|0|0
675|60.832 Seats|Celtic Park|47|Ä4.10m|Ä2.30m|Ä3.50m|Ä9.40m|Ä-5.90m
676|22.199 Seats|Pittodrie Stadium|34|Free transfer|Free transfer|0|0|0
677|10.696 Seats|McDiarmid Park|33|Free transfer|Free transfer|0|0|0
678|18.128 Seats|Rugby Park|45|Free transfer|Ä930k|Ä1.23m|0|+Ä1.23m
679|13.750 Seats|Fir Park|39|Free transfer|Ä760k|Ä880k|0|+Ä880k
680|60.832 Seats|Celtic Park|46|Ä5.00m|Ä1.40m|Ä1.52m|Ä12.05m|Ä-10.53m
681|22.199 Seats|Pittodrie Stadium|31|Ä450k|Ä1.47m|Ä1.80m|Ä672k|+Ä1.13m
682|18.128 Seats|Rugby Park|34|Free transfer|Free transfer|0|0|0
683|10.696 Seats|McDiarmid Park|36|Free transfer|Free transfer|0|0|0
684|13.750 Seats|Fir Park|39|Ä12k|Ä511k|Ä941k|Ä12k|+Ä930k
685|60.832 Seats|Celtic Park|46|Ä10.30m|Ä22.00m|Ä31.09m|Ä14.53m|+Ä16.56m
686|13.750 Seats|Fir Park|49|Free transfer|Ä1.10m|Ä1.10m|0|+Ä1.10m
687|22.199 Seats|Pittodrie Stadium|34|Ä265k|Free transfer|0|Ä265k|Ä-265k
688|18.128 Seats|Rugby Park|34|Free transfer|Free transfer|0|0|0
689|10.696 Seats|McDiarmid Park|42|Free transfer|Free transfer|0|0|0
690|10.770 Seats|Telia 5G Areena|35|Free transfer|Ä150k|Ä150k|0|+Ä150k
691|9.000 Seats|Veritas Stadion|37|Free transfer|Free transfer|0|0|0
692|4.000 Seats|Wiklˆf Holding Arena|27|Free transfer|Free transfer|0|0|0
693|6.005 Seats|Elisa Stadion|25|Free transfer|Free transfer|0|0|0
694|4.700 Seats|Savon Sanomat Areena|29|Free transfer|Free transfer|0|0|0
695|10.770 Seats|Telia 5G Areena|42|Free transfer|Ä250k|Ä250k|0|+Ä250k
696|9.000 Seats|Veritas Stadion|34|Free transfer|Free transfer|0|0|0
697|4.700 Seats|Savon Sanomat Areena|30|Free transfer|Free transfer|0|0|0
698|6.005 Seats|Elisa Stadion|26|Free transfer|Free transfer|0|0|0
699|4.000 Seats|Wiklˆf Holding Arena|32|Free transfer|Free transfer|0|0|0
700|10.770 Seats|Telia 5G Areena|43|Ä200k|Ä1.50m|Ä2.75m|Ä420k|+Ä2.33m
701|4.700 Seats|Savon Sanomat Areena|43|Free transfer|Free transfer|0|0|0
702|6.005 Seats|Elisa Stadion|31|Free transfer|Ä30k|Ä30k|0|+Ä30k
703|9.000 Seats|Veritas Stadion|27|Free transfer|Free transfer|0|0|0
704|4.000 Seats|Wiklˆf Holding Arena|34|Free transfer|Free transfer|0|0|0
705|10.770 Seats|Telia 5G Areena|37|Free transfer|Free transfer|0|0|0
706|4.700 Seats|Savon Sanomat Areena|46|Free transfer|Free transfer|0|0|0
707|9.000 Seats|Veritas Stadion|40|Free transfer|Free transfer|0|0|0
708|4.000 Seats|Wiklˆf Holding Arena|50|Free transfer|Ä500k|Ä500k|0|+Ä500k
709|6.005 Seats|Elisa Stadion|33|Free transfer|Free transfer|0|0|0
710|10.770 Seats|Telia 5G Areena|56|Ä250k|Ä500k|Ä950k|Ä250k|+Ä700k
711|9.000 Seats|Veritas Stadion|42|Free transfer|Free transfer|0|0|0
712|4.000 Seats|Wiklˆf Holding Arena|41|Free transfer|Free transfer|0|0|0
713|6.005 Seats|Elisa Stadion|32|Free transfer|Free transfer|0|0|0
714|4.700 Seats|Savon Sanomat Areena|39|Free transfer|Free transfer|0|0|0
715|10.770 Seats|Telia 5G Areena|67|Free transfer|Free transfer|0|0|0
716|9.000 Seats|Veritas Stadion|38|Free transfer|Free transfer|0|0|0
717|6.005 Seats|Elisa Stadion|49|Free transfer|Free transfer|0|0|0
718|4.000 Seats|Wiklˆf Holding Arena|35|Free transfer|Free transfer|0|0|0
719|4.700 Seats|Savon Sanomat Areena|41|Free transfer|Free transfer|0|0|0
720|10.770 Seats|Telia 5G Areena|51|Free transfer|Ä350k|Ä350k|0|+Ä350k
721|9.000 Seats|Veritas Stadion|40|Free transfer|Free transfer|0|0|0
722|6.005 Seats|Elisa Stadion|43|Free transfer|Free transfer|0|0|0
723|4.000 Seats|Wiklˆf Holding Arena|22|Free transfer|Free transfer|0|0|0
724|4.700 Seats|Savon Sanomat Areena|34|Free transfer|Free transfer|0|0|0
725|10.770 Seats|Telia 5G Areena|47|Ä500k|Free transfer|0|Ä500k|Ä-500k
726|9.000 Seats|Veritas Stadion|35|Free transfer|Free transfer|0|0|0
727|4.000 Seats|Wiklˆf Holding Arena|34|Free transfer|Free transfer|0|0|0
728|4.700 Seats|Savon Sanomat Areena|29|Free transfer|Free transfer|0|0|0
729|6.005 Seats|Elisa Stadion|23|Free transfer|Free transfer|0|0|0
730|10.770 Seats|Telia 5G Areena|44|Ä100k|Ä1.20m|Ä1.76m|Ä130k|+Ä1.63m
731|4.700 Seats|Savon Sanomat Areena|33|Free transfer|Free transfer|0|0|0
732|4.000 Seats|Wiklˆf Holding Arena|39|Free transfer|Free transfer|0|0|0
733|6.005 Seats|Elisa Stadion|35|Free transfer|Free transfer|0|0|0
734|9.000 Seats|Veritas Stadion|32|Free transfer|Free transfer|0|0|0
735|10.770 Seats|Telia 5G Areena|47|Free transfer|Free transfer|0|0|0
736|4.700 Seats|Savon Sanomat Areena|35|Free transfer|Ä275k|Ä275k|0|+Ä275k
737|9.000 Seats|Veritas Stadion|29|Free transfer|Free transfer|0|0|0
738|6.005 Seats|Elisa Stadion|31|Free transfer|Free transfer|0|0|0
739|4.000 Seats|Wiklˆf Holding Arena|25|Free transfer|Free transfer|0|0|0
740|21.510 Seats|Lerkendal Stadion|37|Ä450k|Ä3.50m|Ä6.65m|Ä635k|+Ä6.02m
741|11.800 Seats|Aker Stadion|31|Ä500k|Ä4.50m|Ä4.50m|Ä800k|+Ä3.70m
742|17.333 Seats|Intility Arena|34|Free transfer|Ä340k|Ä340k|0|+Ä340k
743|11.637 Seats|?r?sen stadion|30|Ä30k|Ä2.00m|Ä2.00m|Ä30k|+Ä1.97m
744|8.935 Seats|Marienlyst Stadion|29|Free transfer|Free transfer|0|0|0
745|8.983 Seats|Haugesund Stadion|23|Free transfer|Free transfer|0|0|0
746|21.510 Seats|Lerkendal Stadion|41|Ä1.07m|Ä2.00m|Ä4.05m|Ä1.47m|+Ä2.58m
747|11.800 Seats|Aker Stadion|40|Ä600k|Free transfer|0|Ä1.00m|Ä-1.00m
748|17.333 Seats|Intility Arena|28|Free transfer|Ä1.00m|Ä1.00m|0|+Ä1.00m
749|11.637 Seats|?r?sen stadion|30|Free transfer|Free transfer|0|0|0
750|8.935 Seats|Marienlyst Stadion|31|Free transfer|Ä1.50m|Ä1.50m|0|+Ä1.50m
751|8.983 Seats|Haugesund Stadion|29|Free transfer|Free transfer|0|0|0
752|21.510 Seats|Lerkendal Stadion|41|Ä1.00m|Ä2.60m|Ä3.10m|Ä3.17m|Ä-70k
753|11.637 Seats|?r?sen stadion|34|Ä200k|Ä2.30m|Ä3.15m|Ä200k|+Ä2.95m
754|17.333 Seats|Intility Arena|44|Ä200k|Ä1.20m|Ä1.20m|Ä330k|+Ä870k
755|11.800 Seats|Aker Stadion|32|Ä1.00m|Ä2.40m|Ä2.90m|Ä1.00m|+Ä1.90m
756|8.983 Seats|Haugesund Stadion|33|Ä100k|Free transfer|0|Ä100k|Ä-100k
