TransfermarktId|WinsELQ|DrawsELQ|LossesELQ|Year
1180|3.0|1.0|2.0|2013
1189|0.0|1.0|1.0|2013
1242|1.0|0.0|3.0|2013
1257|1.0|0.0|3.0|2013
1293|3.0|0.0|3.0|2013
1322|2.0|0.0|0.0|2013
1443|2.0|2.0|2.0|2013
1465|1.0|1.0|0.0|2013
2275|1.0|0.0|1.0|2013
2282|0.0|1.0|1.0|2013
2288|1.0|1.0|0.0|2013
2439|2.0|0.0|0.0|2013
2531|3.0|3.0|0.0|2013
2578|2.0|1.0|1.0|2013
2698|4.0|0.0|0.0|2013
2782|2.0|3.0|1.0|2013
2783|1.0|0.0|1.0|2013
2785|0.0|1.0|1.0|2013
2817|1.0|1.0|2.0|2013
3057|4.0|0.0|0.0|2013
3237|1.0|1.0|2.0|2013
3471|3.0|0.0|1.0|2013
3737|3.0|2.0|1.0|2013
3739|1.0|0.0|1.0|2013
3811|1.0|0.0|1.0|2013
3899|1.0|0.0|1.0|2013
4277|0.0|1.0|1.0|2013
4313|0.0|1.0|1.0|2013
4414|3.0|0.0|3.0|2013
4772|1.0|0.0|1.0|2013
5411|0.0|0.0|2.0|2013
5724|0.0|0.0|2.0|2013
5771|1.0|1.0|2.0|2013
5972|1.0|2.0|1.0|2013
6017|0.0|1.0|1.0|2013
6112|0.0|1.0|1.0|2013
6163|0.0|1.0|1.0|2013
6248|0.0|0.0|2.0|2013
6335|2.0|1.0|1.0|2013
6676|0.0|1.0|1.0|2013
6764|0.0|1.0|1.0|2013
6808|2.0|1.0|1.0|2013
6992|2.0|1.0|1.0|2013
7130|0.0|0.0|2.0|2013
7918|1.0|2.0|1.0|2013
8036|1.0|2.0|1.0|2013
8042|0.0|1.0|1.0|2013
8047|0.0|2.0|0.0|2013
8715|2.0|2.0|0.0|2013
8841|1.0|1.0|2.0|2013
8956|2.0|1.0|1.0|2013
8995|1.0|0.0|1.0|2013
9026|0.0|1.0|1.0|2013
9465|3.0|1.0|0.0|2013
10157|4.0|0.0|2.0|2013
10301|1.0|2.0|1.0|2013
10540|2.0|1.0|1.0|2013
