|Team|Link|Age|AbroadPlayers|Value|Difference|Year|Country|StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
73|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2009|22,2|8|7.55m|229k|2009|Serbia|6.000 Seats|Stadion Kralj Petar Prvi|33|40k|350k|350k|90k|+260k
74|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2009|22,6|3|3.10m|111k|2009|Serbia|13.020 Seats|Gradski Stadion Subotica|0|30k|100k|0|0|0
75|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2010|23,5|9|32.28m|872k|2010|Serbia|32.710 Seats|Partizan Stadion|37|300k|4.00m|8.43m|330k|+8.10m
76|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2010|22,9|9|25.35m|768k|2010|Serbia|51.755 Seats|Rajko Mitiæ Stadium|33|770k|2.47m|4.66m|2.46m|+2.20m
77|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2010|21,2|12|19.00m|543k|2010|Serbia|14.852 Seats|Stadion Karadjordje|35|Free transfer|1.10m|1.70m|0|+1.70m
78|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2010|20,9|4|9.70m|285k|2010|Serbia|6.000 Seats|Stadion Kralj Petar Prvi|35|50k|1.20m|3.37m|50k|+3.32m
79|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2010|22,6|6|8.25m|258k|2010|Serbia|13.020 Seats|Gradski Stadion Subotica|32|100k|600k|900k|160k|+740k
80|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2011|22,1|12|28.88m|722k|2011|Serbia|51.755 Seats|Rajko Mitiæ Stadium|40|708k|1.74m|6.55m|3.07m|+3.47m
81|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2011|22,2|15|22.75m|615k|2011|Serbia|14.852 Seats|Stadion Karadjordje|37|200k|2.00m|5.20m|200k|+5.00m
82|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2011|23,8|8|22.68m|756k|2011|Serbia|32.710 Seats|Partizan Stadion|32|1.20m|12.00m|22.35m|3.29m|+19.06m
83|Rad|/fk-rad-belgrad/startseite/verein/902/saison_id/2011|21,2|4|11.43m|309k|2011|Serbia|6.000 Seats|Stadion Kralj Petar Prvi|38|177k|708k|1.41m|187k|+1.22m
84|Spartak|/fk-spartak-subotica/startseite/verein/15276/saison_id/2011|22,1|2|8.70m|281k|2011|Serbia|13.020 Seats|Gradski Stadion Subotica|32|Free transfer|153k|353k|0|+353k
85|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2012|22,7|8|33.60m|862k|2012|Serbia|32.710 Seats|Partizan Stadion|40|300k|2.00m|3.50m|850k|+2.65m
86|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2012|21,1|11|26.50m|679k|2012|Serbia|51.755 Seats|Rajko Mitiæ Stadium|45|425k|600k|600k|1.03m|-427k
87|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2012|22,7|15|19.30m|522k|2012|Serbia|14.852 Seats|Stadion Karadjordje|37|Free transfer|1.50m|2.15m|0|+2.15m
