,teams,links,age,a_players,value,difference,year
198,Wisla Kraków,/wisla-krakau/startseite/verein/422/saison_id/2012,"25,0",13,€20.23m,€632k,2012
199,Slask Wroclaw,/slask-wroclaw/startseite/verein/759/saison_id/2012,"24,6",9,€20.20m,€594k,2012
200,Legia Warszawa,/legia-warschau/startseite/verein/255/saison_id/2012,"24,2",7,€19.30m,€772k,2012
201,Lech Poznan,/lech-pozna%C5%84/startseite/verein/238/saison_id/2012,"24,2",10,€15.63m,€504k,2012
202,Górnik Zabrze,/gornik-zabrze/startseite/verein/428/saison_id/2012,"25,3",3,€11.68m,€377k,2012
203,Ruch Chorzow,/ruch-chorzow/startseite/verein/318/saison_id/2012,"25,2",6,€10.68m,€334k,2012
204,Lechia Gdansk,/lechia-gdansk/startseite/verein/4000/saison_id/2012,"22,7",9,€9.53m,€238k,2012
205,Korona Kielce,/korona-kielce/startseite/verein/6110/saison_id/2012,"24,4",8,€9.43m,€248k,2012
206,Jagiellonia,/jagiellonia-bialystok/startseite/verein/2300/saison_id/2012,"22,6",8,€9.30m,€266k,2012
207,Legia Warszawa,/legia-warschau/startseite/verein/255/saison_id/2013,"23,4",13,€24.05m,€587k,2013
208,Lech Poznan,/lech-pozna%C5%84/startseite/verein/238/saison_id/2013,"23,7",11,€17.05m,€501k,2013
209,Slask Wroclaw,/slask-wroclaw/startseite/verein/759/saison_id/2013,"24,7",14,€15.03m,€417k,2013
210,Górnik Zabrze,/gornik-zabrze/startseite/verein/428/saison_id/2013,"24,7",8,€13.30m,€302k,2013
211,Wisla Kraków,/wisla-krakau/startseite/verein/422/saison_id/2013,"22,5",10,€11.83m,€311k,2013
212,Jagiellonia,/jagiellonia-bialystok/startseite/verein/2300/saison_id/2013,"21,9",11,€10.78m,€251k,2013
213,Korona Kielce,/korona-kielce/startseite/verein/6110/saison_id/2013,"23,9",10,€10.45m,€249k,2013
214,Lechia Gdansk,/lechia-gdansk/startseite/verein/4000/saison_id/2013,"22,8",7,€9.88m,€253k,2013
215,Ruch Chorzow,/ruch-chorzow/startseite/verein/318/saison_id/2013,"23,4",2,€7.23m,€190k,2013
216,Legia Warszawa,/legia-warschau/startseite/verein/255/saison_id/2014,"24,1",11,€23.55m,€604k,2014
217,Lech Poznan,/lech-pozna%C5%84/startseite/verein/238/saison_id/2014,"23,3",15,€17.20m,€521k,2014
218,Lechia Gdansk,/lechia-gdansk/startseite/verein/4000/saison_id/2014,"22,7",15,€17.20m,€430k,2014
219,Wisla Kraków,/wisla-krakau/startseite/verein/422/saison_id/2014,"23,5",9,€11.40m,€356k,2014
220,Korona Kielce,/korona-kielce/startseite/verein/6110/saison_id/2014,"24,7",14,€11.30m,€323k,2014
221,Slask Wroclaw,/slask-wroclaw/startseite/verein/759/saison_id/2014,"24,8",11,€11.23m,€362k,2014
222,Górnik Zabrze,/gornik-zabrze/startseite/verein/428/saison_id/2014,"25,0",7,€9.48m,€263k,2014
223,Jagiellonia,/jagiellonia-bialystok/startseite/verein/2300/saison_id/2014,"21,4",7,€8.55m,€199k,2014
224,Ruch Chorzow,/ruch-chorzow/startseite/verein/318/saison_id/2014,"24,9",5,€8.35m,€246k,2014
225,Legia Warszawa,/legia-warschau/startseite/verein/255/saison_id/2015,"25,4",11,€32.45m,€901k,2015
226,Lech Poznan,/lech-pozna%C5%84/startseite/verein/238/saison_id/2015,"24,2",14,€23.90m,€683k,2015
227,Lechia Gdansk,/lechia-gdansk/startseite/verein/4000/saison_id/2015,"24,0",14,€18.08m,€489k,2015
228,Jagiellonia,/jagiellonia-bialystok/startseite/verein/2300/saison_id/2015,"22,2",8,€13.40m,€327k,2015
229,Wisla Kraków,/wisla-krakau/startseite/verein/422/saison_id/2015,"24,1",9,€12.08m,€335k,2015
230,Slask Wroclaw,/slask-wroclaw/startseite/verein/759/saison_id/2015,"24,7",11,€11.18m,€360k,2015
231,Górnik Zabrze,/gornik-zabrze/startseite/verein/428/saison_id/2015,"25,8",10,€7.70m,€188k,2015
232,Korona Kielce,/korona-kielce/startseite/verein/6110/saison_id/2015,"23,5",11,€6.40m,€149k,2015
233,Ruch Chorzow,/ruch-chorzow/startseite/verein/318/saison_id/2015,"24,5",3,€5.05m,€163k,2015
234,CFR Cluj,/cfr-cluj/startseite/verein/7769/saison_id/2010,"25,5",25,€42.00m,€1.02m,2010
235,Steaua Bukarest,/steaua-bukarest/startseite/verein/301/saison_id/2010,"26,1",11,€40.48m,€1.12m,2010
236,Dinamo Bukarest,/dinamo-bukarest/startseite/verein/312/saison_id/2010,"24,9",10,€32.68m,€797k,2010
237,Pandurii T.-Jiu,/pandurii-targu-jiu/startseite/verein/8715/saison_id/2010,"24,0",8,€12.95m,€324k,2010
