StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
16.126 Seats|Toto Jacob Turner Stadium|34|Free transfer|Free transfer|0|0|0
8.500 Seats|Doha Stadium|28|Free transfer|Free transfer|0|0|0
29.150 Seats|Bloomfield|31|€450k|€2.00m|€2.40m|€1.40m|+€1.01m
30.820 Seats|Sammy Ofer Stadium|32|€800k|Free transfer|0|€2.18m|€-2.18m
33.500 Seats|Teddy-Kollek-Stadion|30|Free transfer|€250k|€250k|0|+€250k
30.820 Seats|Sammy Ofer Stadium|33|Free transfer|€67k|€67k|0|+€67k
16.126 Seats|Toto Jacob Turner Stadium|33|€205k|Free transfer|0|€205k|€-205k
8.500 Seats|Doha Stadium|33|Free transfer|€300k|€320k|0|+€320k
29.150 Seats|Bloomfield|26|€1.13m|€1.50m|€2.32m|€1.63m|+€690k
30.820 Seats|Sammy Ofer Stadium|38|€800k|Free transfer|0|€2.00m|€-2.00m
33.500 Seats|Teddy-Kollek-Stadion|38|€175k|€500k|€500k|€290k|+€210k
16.126 Seats|Toto Jacob Turner Stadium|30|€165k|Free transfer|0|€235k|€-235k
8.500 Seats|Doha Stadium|37|Free transfer|Free transfer|0|0|0
30.820 Seats|Sammy Ofer Stadium|32|Free transfer|€200k|€465k|0|+€465k
30.820 Seats|Sammy Ofer Stadium|33|€155k|€450k|€700k|€155k|+€545k
29.150 Seats|Bloomfield|29|€700k|Free transfer|0|€2.00m|€-2.00m
33.500 Seats|Teddy-Kollek-Stadion|34|€300k|Free transfer|0|€610k|€-610k
16.126 Seats|Toto Jacob Turner Stadium|30|€200k|€250k|€250k|€530k|€-280k
30.820 Seats|Sammy Ofer Stadium|36|Free transfer|€165k|€320k|0|+€320k
8.500 Seats|Doha Stadium|39|€100k|Free transfer|0|€100k|€-100k
29.150 Seats|Bloomfield|31|€3.00m|€1.00m|€1.40m|€4.50m|€-3.10m
30.820 Seats|Sammy Ofer Stadium|35|€300k|€500k|€500k|€720k|€-220k
33.500 Seats|Teddy-Kollek-Stadion|32|€100k|€600k|€1.37m|€140k|+€1.23m
16.126 Seats|Toto Jacob Turner Stadium|28|€450k|Free transfer|0|€1.12m|€-1.12m
30.820 Seats|Sammy Ofer Stadium|31|€175k|Free transfer|0|€175k|€-175k
8.500 Seats|Doha Stadium|29|Free transfer|Free transfer|0|0|0
29.150 Seats|Bloomfield|33|€3.50m|€7.23m|€7.83m|€6.92m|+€908k
30.820 Seats|Sammy Ofer Stadium|40|€1.10m|€1.20m|€1.45m|€4.30m|€-2.85m
33.500 Seats|Teddy-Kollek-Stadion|34|€500k|€750k|€1.45m|€590k|+€860k
16.126 Seats|Toto Jacob Turner Stadium|34|€1.00m|€1.00m|€1.00m|€2.48m|€-1.48m
30.820 Seats|Sammy Ofer Stadium|30|Free transfer|€88k|€123k|0|+€123k
8.500 Seats|Doha Stadium|29|€250k|Free transfer|0|€250k|€-250k
29.150 Seats|Bloomfield|36|€1.00m|€2.90m|€2.90m|€1.82m|+€1.08m
